id,author_id,username,created_at,text,clean_text,edit_history_tweet_ids
1962797253514666143,1630729660882644992,SOHAMGANGURDE3,2025-09-02T08:38:26.000Z,@sohamget22 hello please help me fix my product issue ...connect me to the coustomer care,hello please help me fix my product issue ...connect me to the coustomer care,['1962797253514666143']
1955305012269097022,1630729660882644992,SOHAMGANGURDE3,2025-08-12T16:26:57.000Z,@sohamget22 need to fix the bug in system otherwise its good !,need to fix the bug in system otherwise its good !,['1955305012269097022']
1955304826679537996,1630729660882644992,SOHAMGANGURDE3,2025-08-12T16:26:13.000Z,@sohamget22 Really helped my team track customer moods! the service is quite good and product quality is also excellent .,Really helped my team track customer moods! the service is quite good and product quality is also excellent .,['1955304826679537996']
1955304303213617413,1955297149681369088,sohamget22,2025-08-12T16:24:08.000Z,https://t.co/jmVDxurOwc,,['1955304303213617413']
1955303531553988981,1955297149681369088,sohamget22,2025-08-12T16:21:04.000Z,https://t.co/DdnJZOlygm,,['1955303531553988981']
